1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-3.0002,-3.0336,-3.0434,-3.0432,-3.039,-3.0334,-3.0276,-3.0218,-3.0166,-3.0126,-3.0122,-3.0188,-3.0306,-3.0476,-3.071,-3.103,-3.145,-3.1986,-3.264,-3.3394,-3.418,-3.4926,-3.5706,-3.653,-3.7372,-3.8194,-3.8946,-3.9572,-4.0008,-4.0182,-3.9976,-3.932,-3.8356,-3.716,-3.5802,-3.4356,-3.291,-3.1578,-3.0516,-2.9962,-3.0478,-3.2232,-3.4618,-3.7398,-4.0434,-4.3618,-4.6846,-4.9998,-5.2902,-5.5278,-5.6414,-5.629,-5.559,-5.4556,-5.3312,-5.1922,-5.041,-4.8774,-4.698,-4.4958,-4.2514,-3.97,-3.6702,-3.3612,-3.0496,-2.743,-2.4504,-2.1844,-1.96346,-1.8216,-1.84148,-1.987,-2.1956,-2.4412,-2.7068,-2.979,-3.2444,-3.4876,-3.686,-3.799,-3.7342,-3.5488,-3.3042,-3.0262,-2.731,-2.4306,-2.1356,-1.85726,-1.61142,-1.42716,-1.36446,-1.37454,-1.421,-1.4871,-1.56214,-1.63834,-1.70922,-1.76822,-1.80712,-1.81112
-2.968,-3.0178,-3.046,-3.0648,-3.0796,-3.0928,-3.1044,-3.1138,-3.1204,-3.1246,-3.1276,-3.1314,-3.136,-3.1426,-3.153,-3.1704,-3.1978,-3.2376,-3.291,-3.3568,-3.4304,-3.5084,-3.5928,-3.684,-3.779,-3.873,-3.96,-4.033,-4.085,-4.1076,-4.0912,-4.0328,-3.9402,-3.8218,-3.6856,-3.54,-3.3952,-3.2638,-3.1632,-3.1198,-3.1718,-3.3268,-3.5514,-3.8198,-4.1158,-4.427,-4.742,-5.047,-5.323,-5.5388,-5.6504,-5.6562,-5.5964,-5.498,-5.3754,-5.2358,-5.0826,-4.9156,-4.732,-4.5244,-4.2826,-4.0094,-3.7172,-3.4158,-3.1126,-2.815,-2.5326,-2.2784,-2.0732,-1.95256,-1.95912,-2.0788,-2.267,-2.495,-2.7446,-3.0014,-3.2518,-3.479,-3.6586,-3.749,-3.7058,-3.5516,-3.3332,-3.0796,-2.8082,-2.5308,-2.2586,-2.003,-1.78136,-1.622,-1.55142,-1.54984,-1.58648,-1.64298,-1.70802,-1.77372,-1.83348,-1.88058,-1.90614,-1.89654
-2.8954,-2.96,-3.0108,-3.054,-3.0938,-3.1308,-3.1646,-3.1932,-3.2152,-3.2298,-3.2372,-3.2386,-3.2352,-3.2292,-3.2242,-3.2246,-3.2344,-3.2576,-3.2966,-3.3516,-3.4212,-3.5034,-3.5974,-3.7012,-3.811,-3.9204,-4.0222,-4.1088,-4.1718,-4.203,-4.1956,-4.148,-4.065,-3.954,-3.8238,-3.6842,-3.5468,-3.4252,-3.3374,-3.306,-3.3528,-3.4816,-3.6766,-3.9176,-4.188,-4.4738,-4.7624,-5.0382,-5.2822,-5.469,-5.575,-5.5982,-5.558,-5.4752,-5.3636,-5.2314,-5.0826,-4.9178,-4.7352,-4.53,-4.2984,-4.0424,-3.7694,-3.4878,-3.2052,-2.9294,-2.6702,-2.4412,-2.2624,-2.159,-2.1516,-2.2342,-2.3824,-2.5718,-2.784,-3.0042,-3.218,-3.4084,-3.5522,-3.6204,-3.5928,-3.478,-3.3028,-3.0912,-2.8606,-2.6234,-2.3904,-2.1738,-1.98876,-1.85436,-1.78206,-1.7637,-1.7808,-1.8175,-1.86272,-1.90844,-1.94796,-1.97448,-1.97996,-1.95544
-2.798,-2.8758,-2.9486,-3.0186,-3.0866,-3.1516,-3.2114,-3.2628,-3.303,-3.3298,-3.3424,-3.3416,-3.3294,-3.3094,-3.287,-3.2676,-3.2574,-3.2618,-3.2852,-3.3298,-3.396,-3.483,-3.5884,-3.7082,-3.8362,-3.9648,-4.0856,-4.1896,-4.2678,-4.3126,-4.3182,-4.2838,-4.213,-4.1128,-3.9928,-3.8632,-3.7366,-3.6268,-3.55,-3.5236,-3.5606,-3.6636,-3.8244,-4.0284,-4.2612,-4.5092,-4.759,-4.9958,-5.2026,-5.3616,-5.4586,-5.4914,-5.4692,-5.405,-5.3094,-5.1902,-5.0516,-4.895,-4.7204,-4.526,-4.311,-4.0778,-3.8312,-3.578,-3.3248,-3.0794,-2.851,-2.6516,-2.4968,-2.4028,-2.3802,-2.4262,-2.5266,-2.6648,-2.825,-2.9938,-3.1574,-3.3008,-3.4064,-3.456,-3.439,-3.3592,-3.2308,-3.0706,-2.8922,-2.7066,-2.5236,-2.3536,-2.2076,-2.0972,-2.028,-1.99606,-1.99138,-2.003,-2.0218,-2.041,-2.0542,-2.0556,-2.0388,-1.99832
-2.6848,-2.7748,-2.8692,-2.9666,-3.0648,-3.1602,-3.2488,-3.3256,-3.3862,-3.4268,-3.4454,-3.4424,-3.4206,-3.3852,-3.3432,-3.3022,-3.27,-3.2538,-3.2606,-3.2946,-3.3584,-3.4516,-3.5706,-3.7092,-3.859,-4.011,-4.1548,-4.2804,-4.3782,-4.4406,-4.4622,-4.4424,-4.385,-4.297,-4.1882,-4.0698,-3.9544,-3.855,-3.7852,-3.758,-3.7822,-3.8596,-3.9848,-4.1482,-4.3376,-4.541,-4.746,-4.9394,-5.1082,-5.2398,-5.3254,-5.3624,-5.3542,-5.3078,-5.2304,-5.1274,-5.003,-4.8596,-4.6986,-4.5208,-4.3274,-4.121,-3.9056,-3.6858,-3.4676,-3.257,-3.0622,-2.892,-2.7572,-2.6672,-2.6276,-2.637,-2.6876,-2.7686,-2.8686,-2.9772,-3.0834,-3.1758,-3.2432,-3.2752,-3.266,-3.2166,-3.1344,-3.0284,-2.9076,-2.7798,-2.652,-2.5314,-2.4248,-2.3382,-2.2744,-2.2322,-2.2062,-2.1908,-2.18,-2.1688,-2.1526,-2.1266,-2.0868,-2.0292
-2.5638,-2.6654,-2.7808,-2.9056,-3.0348,-3.162,-3.2808,-3.3848,-3.4676,-3.5234,-3.5486,-3.5432,-3.5106,-3.4586,-3.3956,-3.3314,-3.2756,-3.2378,-3.2268,-3.2502,-3.3122,-3.4134,-3.5484,-3.7092,-3.8846,-4.0632,-4.2336,-4.3846,-4.5058,-4.589,-4.6286,-4.624,-4.5794,-4.5028,-4.405,-4.2972,-4.1914,-4.0998,-4.0334,-4.002,-4.0114,-4.0634,-4.154,-4.2764,-4.421,-4.5776,-4.7356,-4.885,-5.016,-5.1208,-5.1932,-5.2308,-5.2334,-5.2034,-5.144,-5.0586,-4.9506,-4.8232,-4.6792,-4.5216,-4.353,-4.1762,-3.9944,-3.8108,-3.6294,-3.4552,-3.2938,-3.1508,-3.0324,-2.9428,-2.8848,-2.8574,-2.8574,-2.8792,-2.9158,-2.9604,-3.0062,-3.0466,-3.0758,-3.0898,-3.086,-3.0642,-3.0258,-2.9736,-2.9114,-2.843,-2.7718,-2.7012,-2.6334,-2.5706,-2.5136,-2.4622,-2.4158,-2.373,-2.3314,-2.2886,-2.2418,-2.188,-2.1246,-2.0492
-2.4432,-2.5552,-2.6912,-2.8436,-3.0032,-3.1618,-3.311,-3.443,-3.5492,-3.6216,-3.654,-3.6452,-3.601,-3.5306,-3.446,-3.3584,-3.2788,-3.2186,-3.189,-3.201,-3.2622,-3.3736,-3.5282,-3.714,-3.9176,-4.1254,-4.3248,-4.504,-4.6516,-4.7578,-4.8162,-4.826,-4.7928,-4.726,-4.6372,-4.5384,-4.4404,-4.3542,-4.2888,-4.2514,-4.2458,-4.2734,-4.3314,-4.4148,-4.516,-4.6268,-4.739,-4.8452,-4.9394,-5.0174,-5.0762,-5.113,-5.1248,-5.1096,-5.0672,-4.9992,-4.908,-4.7974,-4.6714,-4.535,-4.3922,-4.2462,-4.0986,-3.9512,-3.8066,-3.6678,-3.538,-3.4198,-3.3152,-3.2242,-3.1466,-3.0824,-3.0322,-2.9948,-2.968,-2.9486,-2.9338,-2.9216,-2.9124,-2.9074,-2.9074,-2.9108,-2.9138,-2.9134,-2.908,-2.8972,-2.8814,-2.8596,-2.83,-2.7904,-2.7396,-2.6792,-2.6126,-2.5424,-2.4702,-2.3962,-2.3192,-2.2382,-2.1516,-2.0588
-2.3318,-2.4536,-2.6102,-2.789,-2.9772,-3.1644,-3.3416,-3.5004,-3.6304,-3.7206,-3.7608,-3.748,-3.6902,-3.6016,-3.4962,-3.3868,-3.285,-3.2032,-3.1546,-3.1544,-3.215,-3.3396,-3.5174,-3.7312,-3.9644,-4.2018,-4.4308,-4.639,-4.8144,-4.945,-5.0222,-5.0444,-5.0196,-4.9602,-4.8788,-4.787,-4.6956,-4.6134,-4.548,-4.5044,-4.485,-4.4902,-4.5188,-4.5666,-4.6284,-4.6972,-4.7666,-4.832,-4.8902,-4.9418,-4.9872,-5.0234,-5.0438,-5.0424,-5.0158,-4.9638,-4.8884,-4.7934,-4.6842,-4.5676,-4.4498,-4.3338,-4.2196,-4.1068,-3.9962,-3.8896,-3.7882,-3.6922,-3.6,-3.5066,-3.409,-3.308,-3.2086,-3.1144,-3.027,-2.9466,-2.8732,-2.8092,-2.7604,-2.7348,-2.7376,-2.765,-2.8072,-2.8544,-2.901,-2.9436,-2.979,-3.0034,-3.0108,-2.9934,-2.9474,-2.8764,-2.7888,-2.6922,-2.591,-2.4874,-2.3822,-2.2754,-2.167,-2.0574
-2.2414,-2.3728,-2.5498,-2.752,-2.9636,-3.1734,-3.3732,-3.5544,-3.7068,-3.8162,-3.8652,-3.8464,-3.774,-3.6684,-3.5462,-3.4202,-3.3014,-3.2016,-3.135,-3.1208,-3.1812,-3.3232,-3.5278,-3.7702,-4.031,-4.2956,-4.5514,-4.787,-4.9898,-5.146,-5.241,-5.2722,-5.2524,-5.1982,-5.1228,-5.0376,-4.952,-4.8738,-4.8086,-4.7602,-4.7292,-4.7156,-4.7188,-4.7366,-4.7644,-4.7968,-4.8288,-4.8572,-4.8816,-4.9066,-4.9394,-4.9768,-5.0062,-5.017,-5.0042,-4.966,-4.904,-4.822,-4.7264,-4.6264,-4.5312,-4.4436,-4.3596,-4.2772,-4.1958,-4.1158,-4.038,-3.961,-3.88,-3.7852,-3.6672,-3.5292,-3.3828,-3.2366,-3.0946,-2.9592,-2.8324,-2.7192,-2.6296,-2.5804,-2.5858,-2.6372,-2.7148,-2.8034,-2.8942,-2.9818,-3.0616,-3.1276,-3.17,-3.1742,-3.13,-3.0454,-2.9368,-2.8156,-2.6884,-2.5588,-2.4282,-2.2982,-2.17,-2.0452
-2.1898,-2.332,-2.527,-2.7448,-2.9698,-3.1922,-3.4046,-3.5996,-3.7684,-3.8964,-3.9566,-3.9284,-3.8424,-3.7262,-3.5956,-3.4618,-3.3354,-3.2264,-3.1478,-3.1198,-3.1784,-3.3436,-3.5754,-3.8418,-4.1244,-4.4094,-4.6856,-4.9424,-5.169,-5.3502,-5.4624,-5.4972,-5.4806,-5.4318,-5.3634,-5.2854,-5.2062,-5.1326,-5.0692,-5.0186,-4.9792,-4.9506,-4.9342,-4.9286,-4.9298,-4.9336,-4.936,-4.934,-4.9286,-4.9272,-4.9486,-4.99,-5.0272,-5.0474,-5.0444,-5.017,-4.966,-4.8946,-4.809,-4.72,-4.6438,-4.5814,-4.5224,-4.4634,-4.4034,-4.3428,-4.2812,-4.217,-4.1446,-4.0504,-3.9114,-3.7368,-3.5492,-3.3592,-3.1722,-2.9914,-2.8204,-2.665,-2.5362,-2.4592,-2.4682,-2.5428,-2.6484,-2.7674,-2.8904,-3.0112,-3.1244,-3.2232,-3.2964,-3.3224,-3.2748,-3.1744,-3.0472,-2.906,-2.758,-2.607,-2.456,-2.3068,-2.1612,-2.0228
